12855,2991797,100
17830,1215187,42
21649,2493491,38
65395,752627,24
43649,231858,23
30461,81591,16
61007,835496,46
70251,1091755,116
4190,4171920,95
30462,81590,17
21656,3604943,31
361,1120722,71
61003,603388,59
363,567244,93
411,3111600,114
83822,502288,119
414,3658794,160
415,1411814,67
34847,3605234,31
412,1618280,118
34846,65299,1
413,1128539,65
132606,124311,11
52432,31436,73
66469,779813,91
74176,731738,100
61111,729630,79
70287,42918,34
52426,326208,58
17742,453025,45
52429,189233,47
52430,230818,71
74197,19870485,158
83825,22020,2
74192,1838947,75
74216,3173012,84
17791,262853,46
61084,4992027,74
34867,783321,26
74215,19153378,156
78036,787730,40
61072,417414,37
47975,119520,11
74211,5770407,107
30244,1605007,90
47974,836534,35
34868,681750,29
34859,130280,17
47995,299064,34
61064,60953,10
61068,122093,3
417,1306382,116
416,972428,47
47987,180069,17
70309,1561561,122
418,1905845,99
66536,1424003,111
30283,286828,60
4328,15341301,78
4329,269927,59
74112,3943439,102
4326,734057,75
61173,1801446,76
39270,1079186,100
12930,417405,54
21536,848769,42
74137,2353710,150
30303,1613167,73
34894,1659500,65
47902,4922299,59
74138,1680713,124
34895,365618,58
47903,3011059,57
455,4759218,95
39284,81591,16
39285,81729,16
450,716515,51
39281,81729,16
39282,81729,16
39283,81729,16
4301,308857,66
74156,15968425,162
39241,322803,38
52408,1160124,121
83715,314479,10
83714,56819,8
74151,1259515,84
47906,15660366,97
47905,9539125,122
47904,7076928,120
74170,4452383,147
21533,8477371,115
9100,81769,16
74174,2810932,119
83740,1270787,59
9099,81729,16
9098,81770,14
47929,2051543,141
65528,1251830,59
65526,6890408,108
65523,37230,6
83735,424040,63
25735,921063,39
8263,122375,2
22485,444439,71
18148,942950,98
74358,470080,73
30129,2545602,70
8257,332190,18
60675,116948,23
64549,402238,64
64548,781586,28
64550,336608,69
64545,1829477,126
69940,239973,52
64547,1876057,80
69943,795643,135
53117,4863539,59
53116,1329678,57
69944,543916,55
39561,612213,65
53115,4371379,187
53114,5566631,106
53065,699273,43
8309,201119,16
83180,520021,40
83181,84727,17
60728,231369,28
18083,71813,1
608,264246,56
56852,3666851,40
60740,62622,2
617,641563,70
35823,1804286,24
69994,997340,45
64611,2984663,142
8214,2102668,90
629,623288,63
4939,1032116,52
30187,129442,35
39665,665340,52
39664,1412227,93
43424,565971,97
74256,70745,2
586,1001637,35
587,631319,93
53004,754166,34
4991,339875,43
591,1374189,126
8241,310804,17
594,1513209,109
60795,510571,26
39656,698701,54
607,845300,57
64588,4181761,110
35630,927046,80
65690,3509162,143
12793,2144885,102
65681,2920908,120
65680,2758095,110
5011,68387,7
5010,200623,9
65684,7352034,122
64690,1130571,123
65686,2283711,39
60829,551120,88
60830,1453152,59
701,732963,112
60825,1326592,123
60827,1287879,58
74464,4662779,99
60820,1963721,118
65666,2991644,110
65667,993705,117
65670,6735929,90
35594,1470842,85
35584,340504,21
70021,1705584,84
35585,89105,12
35611,3295359,114
664,45471,3
35608,15092239,81
70034,2905843,63
35606,675099,27
65758,239609,56
35692,667461,86
35693,2851600,60
65749,678921,80
74420,3531844,135
8322,462630,35
70119,9480676,116
74422,1525928,128
74417,1159508,83
74416,1657878,121
74419,1746650,113
35705,3229400,34
60888,97006,89
56971,18716,0
70138,3391392,136
25683,1126200,66
25682,2880616,148
25686,976867,76
35703,6732102,109
25685,946646,78
25684,991005,96
713,1095962,112
715,571734,107
717,1464692,111
35663,7041690,125
35648,1041897,84
706,576855,91
35655,310040,5
35652,1104462,80
710,337274,67
25722,2916260,54
70105,454536,47
720,337750,91
35666,522925,82
721,1013772,60
35670,15716471,92
70097,1050773,70
8532,3707652,98
22215,1795333,23
22211,9562942,124
35512,1759193,75
12395,243845,22
69692,956535,28
4624,3672042,32
43203,446412,70
29885,368035,34
35500,6752595,106
8523,341568,12
18410,2360853,68
22245,181533,30
8564,1900032,111
787,314120,4
60464,1476152,44
35460,2503218,40
35464,137450,30
26025,1271426,105
136749,966168,72
64865,2026871,94
136750,823432,63
35575,1917772,93
35576,1348174,58
35582,617575,58
4685,555589,109
39887,3522404,98
47535,19403488,143
39884,7459413,150
64877,536044,55
22161,15245239,92
4688,547602,154
4689,1032023,102
69735,649376,26
4691,252358,24
18338,81284,15
69733,1448767,78
4693,2042125,115
74559,2516462,57
43184,597742,93
64833,3478586,84
22179,153335,14
