1104,71237,59,9,9
166332,748041,30,6,4
16530,1282670,44,13,12
71508,427515,59,7,7
82585,80096,5,0,0
5471,635234,40,5,5
51501,577950,29,3,4
5468,597376,31,5,5
51502,953062,34,7,6
9739,5585589,62,20,21
51499,6786198,60,32,32
82576,22618,0,0,0
51493,584393,38,4,8
51488,1433249,57,12,10
51489,2604,42,5,6
51490,1193707,41,6,4
51491,1255877,32,9,9
55315,51973,90,11,11
1151,912551,10,2,2
51517,5559980,59,8,6
48813,4710527,77,12,12
51518,1823685,42,18,18
55305,6964396,77,25,24
9754,1735713,70,18,18
20871,4588894,56,30,30
67140,6071,18,5,5
1136,1779627,15,4,3
71428,9506879,70,28,25
64017,1129654,108,15,16
71427,2884972,72,22,24
71425,5242985,71,17,17
48834,312489,12,2,3
48833,309549,13,2,3
48836,822421,48,8,8
48837,1369729,23,9,9
51567,7129795,81,21,20
64048,1195880,21,11,10
55379,588538,38,10,9
60165,3121602,25,11,12
67089,1351651,12,4,4
25221,317166,3,1,0
55372,320478,13,2,2
55375,100307,12,0,1
51569,4855113,47,3,3
64033,4792576,87,15,13
67077,1790094,43,10,9
51568,8330207,90,26,30
51570,5118372,55,16,14
25236,322502,53,3,3
82627,1018095,30,5,6
48662,833980,42,6,7
16389,419319,39,10,11
48663,821411,24,5,6
48660,42828,5,0,0
1222,642469,64,9,11
60384,272286,42,3,7
51598,898324,50,13,15
48668,453017,56,11,12
51597,882998,92,11,12
36170,325505,9,1,1
40058,893720,9,4,3
48666,926138,43,5,8
9908,674941,68,13,13
9917,220410,36,5,6
9913,102070,69,3,3
82476,1157227,36,14,14
71645,344707,46,5,5
1255,100149,8,1,1
60357,833830,31,19,22
48693,1352763,87,12,13
29557,648525,47,18,18
60353,567077,61,13,13
60354,577133,55,16,17
71657,1076764,91,12,11
55454,3264314,64,18,16
29560,683879,53,15,14
1270,226316,8,2,2
25173,1950660,105,21,20
79258,41882,8,0,0
71676,2364883,87,20,17
29547,4022970,25,14,15
9881,3179261,61,19,15
71558,407464,18,7,7
16455,626117,65,2,2
29464,99059,6,2,2
71561,187174,34,2,2
14302,1329153,9,5,6
9971,1934644,83,12,9
36117,1242051,120,17,20
55528,931139,12,2,2
71580,1550936,59,11,11
29455,1988154,23,12,12
20818,15918161,71,19,18
9922,392183,45,6,6
14322,12774702,44,16,15
14326,1005374,20,8,9
71586,6860364,59,25,24
55516,726929,6,6,6
9939,193587,69,10,10
14312,545017,39,11,13
51708,851398,6,1,1
78908,369531,55,7,7
78910,209151,7,2,2
16788,3792044,51,22,20
60018,3154447,61,17,17
5243,152350,2,2,2
25577,385269,33,5,5
51207,294014,6,4,4
71236,1317105,35,10,6
10019,4673557,57,26,22
64338,215013,90,9,9
71238,452262,28,10,13
64339,67499,49,7,9
71293,3008255,59,13,15
16820,1574177,82,18,16
59988,268095,52,5,5
71280,1227353,82,12,11
16817,5671826,76,19,19
64352,1044978,44,15,15
9999,6430680,66,22,21
71278,2905799,76,26,28
25544,3188754,97,30,29
51241,784342,16,8,8
9989,1257227,57,5,5
9990,601419,79,13,13
20624,2885184,70,27,26
25538,248781,15,4,6
9987,1493611,78,13,15
35994,5470501,56,4,4
51284,313721,82,12,12
35991,1122937,23,13,13
10073,1597705,33,19,18
13929,710122,83,2,4
13933,1021946,66,8,9
49134,317276,9,2,1
67335,533569,40,11,12
71221,1714179,94,25,23
13924,2733341,59,21,21
71218,674033,66,4,4
71217,2567971,128,20,20
82910,476030,14,6,4
55643,931601,51,9,12
55644,812734,41,9,10
78921,521467,15,7,7
36003,894649,55,10,11
13938,1729803,40,11,8
78915,1049937,43,11,9
67347,373881,38,10,10
51349,4846867,29,16,14
35921,63413,27,10,10
35920,1928427,62,23,23
35923,17177,33,3,4
25456,7409701,70,28,26
82735,408604,25,8,8
13960,1058606,84,9,8
35908,1464986,83,12,14
35909,1020153,77,13,14
35910,630808,50,10,10
71363,1402810,53,14,13
35911,306939,52,8,8
86532,78409,25,0,0
86534,213123,36,8,9
35906,327326,28,6,6
35907,3446435,32,6,5
5360,1696522,85,21,22
35916,10563,44,0,0
25454,3598434,84,27,24
35918,1036099,28,7,7
25452,7085738,60,22,26
25453,10262332,104,34,32
35912,39703,50,5,5
35913,9708,37,0,0
10153,1697091,73,15,13
10132,499711,39,7,7
10133,2208828,75,22,18
13989,1687090,91,15,14
55684,30947,5,0,0
5319,1421925,32,16,16
13991,782545,70,11,11
55683,34682,0,0,0
29292,301302,46,11,12
71422,1735855,50,16,19
67532,1926585,23,17,16
13995,1030866,47,20,21
14000,15317521,45,18,21
51375,255156,10,1,2
51374,59373,10,1,1
51373,11148,15,0,0
25395,215050,20,5,5
10228,369895,4,4,4
35862,1728817,21,10,10
25396,508451,40,6,5
71325,1571534,93,28,26
