FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,COUNTY,STATE,LOCATION_TYPE,LATITUDE,LONGITUDE,COORD_RADIUS,END_OF_LINE                                                                                            
     999397,     30043,WQIN469             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0402778,76.7233333,            ,;              
     999398,     30262,WQIN471             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7261111,76.3280556,            ,;              
     999399,     30049,WQIN471             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0028333,76.8482778,            ,;              
     999400,     30186,WQIN471             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9799167,76.8371389,            ,;              
     999401,     30208,WQIN471             ,         19,PW   ,ADAMS                                             ,PA                                                ,F    ,39.9361111,76.9783333,            ,;              
     999402,     30193,WQIN471             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9706389,76.5216389,            ,;              
     999403,     30021,WQIN471             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.2088889,76.8708333,            ,;              
     999404,     30030,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1394722,76.9801667,            ,;              
     999405,     30032,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1344444,76.8052778,            ,;              
     999406,     30241,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8105556,   76.7275,            ,;              
     999407,     30188,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9797222,76.7305556,            ,;              
     999408,     30250,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7669444,76.6813889,            ,;              
     999409,     30189,WQIN473             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9727778,76.7038889,            ,;              
     999410,     30040,WQIN474             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0636111,76.7066667,            ,;              
     999411,     30261,WQIN474             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7366667,76.6961111,            ,;              
     999412,     30033,WQIN474             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.1302778,76.7894444,            ,;              
     999413,     30223,WQIN474             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9130833,76.4862778,            ,;              
     999414,     30243,WQIN474             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.7947222,76.9688889,            ,;              
     999415,     30258,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,   39.7475,76.9472222,            ,;              
     999416,     30198,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9544444,76.7652778,            ,;              
     999417,     30047,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,40.0241667,76.5277778,            ,;              
     999418,     30215,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9205556,76.6822222,            ,;              
     999419,     30204,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,  39.96075,76.7277778,            ,;              
     999420,     30218,WQIN475             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.9022222,76.7872222,            ,;              
     999421,     30240,WQIN476             ,         19,PW   ,YORK                                              ,PA                                                ,F    ,39.8164722,76.9783611,            ,;              
