FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
178942,44,CA                  ,40096,                  ,
178943,24,CA                  ,40282,                  ,
178944,42,CA                  ,40282,                  ,
178945,4,CA                  ,40167,                  ,
178946,13,CA                  ,40167,                  ,
178947,29,CA                  ,40167,                  ,
178948,5,CA                  ,40292,                  ,
178949,25,CA                  ,40292,                  ,
178950,4,CA                  ,40052,                  ,
178951,45,CA                  ,40052,                  ,
178952,11,CA                  ,40165,                  ,
178953,42,CA                  ,40165,                  ,
178954,15,CA                  ,40284,                  ,
178955,24,CA                  ,40163,                  ,
178956,3,CA                  ,40077,                  ,
178957,5,CA                  ,40078,                  ,
178958,7,CA                  ,40077,                  ,
178959,21,CA                  ,40077,                  ,
178960,23,CA                  ,40078,                  ,
178961,11,CA                  ,50179,                  ,
178962,11,CA                  ,40134,                  ,
178963,31,CA                  ,40134,                  ,
178964,48,CA                  ,40140,                  ,
178965,49,CA                  ,40140,                  ,
178966,13,CA                  ,40257,                  ,
178967,45,CA                  ,40257,                  ,
178968,13,CA                  ,50057,                  ,
178969,4,CA                  ,40035,                  ,
178970,7,CA                  ,40037,                  ,
178971,13,CA                  ,40036,                  ,
178972,30,CA                  ,40037,                  ,
178973,32,CA                  ,40035,                  ,
178974,47,CA                  ,40036,                  ,
178975,13,CA                  ,40220,                  ,
178976,14,CA                  ,40136,                  ,
178977,23,CA                  ,40136,                  ,
178978,25,CA                  ,40220,                  ,
178979,44,CA                  ,40136,                  ,
178980,47,CA                  ,40137,                  ,
178981,51,CA                  ,40136,                  ,
178982,41,CA                  ,40091,                  ,
178983,38,CA                  ,50129,                  ,
178984,36,CA                  ,40088,                  ,
179026,12,CA                  ,40161,                  ,
179027,50,CA                  ,40161,                  ,
179034,43,MX                  ,70038,                  ,
179035,7,CA                  ,40022,                  ,
179036,35,MX                  ,70012,                  ,
179037,24,MX                  ,70013,                  ,
179038,34,MX                  ,70001,                  ,
179039,44,MX                  ,70004,                  ,
179040,49,MX                  ,70083,                  ,
179041,43,MX                  ,70087,                  ,
179042,12,CA                  ,40022,                  ,
179043,26,CA                  ,40258,                  ,
179044,35,CA                  ,40258,                  ,
