facility_id,population,category,dma_rank,p_open,coin,value_per_pop,noise
11371,1745171.0,1,0.7472588249618174,145892700.0,0.9649292697967965,116.22851400792935,4.788037067560964
34440,3316709.0,1,1.0,302885100.0,0.9649292697967965,116.22851400792935,4.788037067560964
70900,4425367.0,1,1.0,257881500.0,0.9649292697967965,116.22851400792935,4.788037067560964
43095,6626923.0,1,1.0,409172400.0,0.9649292697967965,116.22851400792935,4.788037067560964
51189,6825273.0,1,1.0,411655500.0,0.9649292697967965,116.22851400792935,4.788037067560964
35663,6581065.0,1,1.0,444743100.0,0.9649292697967965,116.22851400792935,4.788037067560964
57945,4469972.0,1,1.0,353003400.0,0.9649292697967965,116.22851400792935,4.788037067560964
65526,6830926.0,0,1.0,395235900.0,0.9895619970785762,550.3505101621704,2.839878402917667
49153,5560031.0,1,1.0,369912600.0,0.9649292697967965,116.22851400792935,4.788037067560964
21533,9214106.0,1,1.0,531934200.0,0.9649292697967965,116.22851400792935,4.788037067560964
37511,6481115.0,1,1.0,420050700.0,0.9649292697967965,116.22851400792935,4.788037067560964
72096,2186993.0,1,0.5891851239909746,256380300.0,0.9649292697967965,116.22851400792935,4.788037067560964
34329,631646.0,1,0.5910750863228016,169156800.0,0.9649292697967965,116.22851400792935,4.788037067560964
4108,4937778.0,0,0.5274646692526056,371016000.0,0.9895619970785762,550.3505101621704,2.839878402917667
69338,4784627.0,1,0.5274646692526056,349171200.0,0.9649292697967965,116.22851400792935,4.788037067560964
5982,496701.0,1,0.4154667127956401,119948400.0,0.9649292697967965,116.22851400792935,4.788037067560964
83913,773055.0,0,0.4971927197883487,116056800.0,0.9895619970785762,550.3505101621704,2.839878402917667
51567,7778795.0,0,0.9986012943127608,474683400.0,0.9895619970785762,550.3505101621704,2.839878402917667
30576,8107996.0,0,0.9986012943127608,512946000.0,0.9895619970785762,550.3505101621704,2.839878402917667
10259,926120.0,1,0.9986012943127608,177385500.0,0.9649292697967965,116.22851400792935,4.788037067560964
38437,3639617.0,1,0.9986012943127608,300609000.0,0.9649292697967965,116.22851400792935,4.788037067560964
9999,7268167.0,1,0.9986012943127608,498521700.0,0.9649292697967965,116.22851400792935,4.788037067560964
10019,5379483.0,1,0.9986012943127608,397702800.0,0.9649292697967965,116.22851400792935,4.788037067560964
50347,3386309.0,1,0.9986012943127608,278278200.0,0.9649292697967965,116.22851400792935,4.788037067560964
11123,2729057.0,1,0.5793348482668336,245012400.0,0.9649292697967965,116.22851400792935,4.788037067560964
61084,5552987.0,1,0.5793348482668336,342508500.0,0.9649292697967965,116.22851400792935,4.788037067560964
47929,2381832.0,1,0.5384289061290128,317232900.0,0.9649292697967965,116.22851400792935,4.788037067560964
73153,3919209.0,0,0.4762124123454342,409023900.0,0.9895619970785762,550.3505101621704,2.839878402917667
68666,123561.0,1,0.7190973787031073,28413000.0,0.9649292697967965,116.22851400792935,4.788037067560964
58267,918514.0,1,0.4773020790805062,112262400.0,0.9649292697967965,116.22851400792935,4.788037067560964
10549,1820391.0,1,0.5332413394420835,179203500.0,0.9649292697967965,116.22851400792935,4.788037067560964
24515,189981.0,1,0.601266249221309,41187600.0,0.9649292697967965,116.22851400792935,4.788037067560964
49264,3714872.0,1,0.7753808209183498,249597000.0,0.9649292697967965,116.22851400792935,4.788037067560964
51656,427660.0,1,0.6437151834511989,50148000.0,0.9649292697967965,116.22851400792935,4.788037067560964
25577,484914.0,0,0.6437151834511989,55341900.0,0.9895619970785762,550.3505101621704,2.839878402917667
