,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
1768,133,"Columbus-Tupelo-West Point, MS",83946,WEPH,49,DT,87,577036.0,7085,116182,104563800.0,"$78,422,850 ","$41,825,520 ",UHF
1769,133,"Columbus-Tupelo-West Point, MS",37732,WLOV-TV,16,DT,103,607430.0,7910,129702,116731800.0,"$87,548,850 ","$46,692,720 ",UHF
1770,133,"Columbus-Tupelo-West Point, MS",43192,WMAB-TV,10,DT,71,393980.0,5289,86725,46831500.0,"$27,318,375 ",,HVHF
1771,133,"Columbus-Tupelo-West Point, MS",43170,WMAE-TV,12,DT,116,563584.0,8086,132583,71594820.0,"$41,763,645 ",,HVHF
1772,133,"Columbus-Tupelo-West Point, MS",74148,WTVA,8,DT,99,686014.0,8241,135134,72972360.0,"$42,567,210 ",,HVHF
1773,134,"Wausau-Rhinelander, WI",64546,WAOW,9,DT,92,622068.0,7565,124049,66986460.0,"$39,075,435 ",,HVHF
1774,134,"Wausau-Rhinelander, WI",73036,WHRM-TV,24,DT,75,493481.0,6084,99757,89781300.0,"$67,335,975 ","$35,912,520 ",UHF
1775,134,"Wausau-Rhinelander, WI",49699,WJFW-TV,16,DT,91,267135.0,4930,80847,72762300.0,"$54,571,725 ","$29,104,920 ",UHF
1776,134,"Wausau-Rhinelander, WI",63046,WLEF-TV,36,DT,77,190361.0,3829,62779,56501100.0,"$42,375,825 ","$22,600,440 ",UHF
1777,134,"Wausau-Rhinelander, WI",81503,WMOW,12,DT,73,105167.0,2771,45434,24534360.0,"$14,311,710 ",,HVHF
1778,134,"Wausau-Rhinelander, WI",6867,WSAW-TV,7,DT,99,641886.0,7972,130715,70586100.0,"$41,175,225 ",,HVHF
1779,134,"Wausau-Rhinelander, WI",86496,WTPX-TV,46,DT,50,235101.0,3429,56220,50598000.0,"$37,948,500 ","$20,239,200 ",UHF
1780,134,"Wausau-Rhinelander, WI",77789,WYOW,28,DT,66,90601.0,2445,40098,36088200.0,"$27,066,150 ","$14,435,280 ",UHF
1781,135,"Topeka, KS",67335,KSNT,27,DT,89,594600.0,7275,119285,107356500.0,"$80,517,375 ","$42,942,600 ",UHF
1782,135,"Topeka, KS",166546,KSQA,12,DT,43,309450.0,3648,59815,32300100.0,"$18,841,725 ",,HVHF
1783,135,"Topeka, KS",49397,KTKA-TV,49,DT,66,566357.0,6114,100253,90227700.0,"$67,670,775 ","$36,091,080 ",UHF
1784,135,"Topeka, KS",43649,KTMJ-CD,43,DC,45,215336.0,3113,51044,45939600.0,"$34,454,700 ","$18,375,840 ",UHF
1785,135,"Topeka, KS",70938,KTWU,11,DT,91,1550942.0,11880,194804,105194160.0,"$61,363,260 ",,HVHF
1786,135,"Topeka, KS",63160,WIBW-TV,13,DT,93,1029453.0,9785,160444,86639760.0,"$50,539,860 ",,HVHF
1787,136,"Rockford, IL",4689,WIFR,41,DT,150,1104676.0,12873,211078,189970200.0,"$142,477,650 ","$75,988,080 ",UHF
1788,136,"Rockford, IL",52408,WQRF-TV,42,DT,147,1193317.0,13245,217178,195460200.0,"$146,595,150 ","$78,184,080 ",UHF
