FacID,Volume
56526,133068
56523,112607
146,129250
66321,34001
4035,108204
42122,175019
40876,172832
35277,163296
6124,164589
11371,83994
58927,83698
58827,171593
10238,154751
69479,24503
10324,3380
11117,89373
61026,52475
7651,83591
73188,114994
73310,98715
41398,105124
28468,105748
30580,10865
60820,112560
41232,114551
36504,114903
9971,109500
418,108457
14050,194653
33081,219708
13602,212665
13607,100924
13595,118120
53115,176778
51980,218015
10153,48382
147,189351
74109,318297
74214,45530
3072,165069
74170,214994
71217,129390
30244,80077
50781,130090
54414,55422
66172,61884
1104,5081
9939,15417
66185,125302
50147,34368
50141,57478
11118,104711
56549,122611
74137,122521
21158,133949
59852,10138
24570,76092
56528,117616
24316,190331
26304,119239
17830,90116
27300,112756
749,111078
51518,108788
48837,88575
125710,113303
61173,106446
53118,117961
32621,3535
64969,114508
60464,85992
35881,113354
55762,3234
69618,114775
53843,120566
41230,122515
64444,117933
65686,120569
42636,113687
4326,38621
33337,117077
59444,113478
33336,115438
11291,122124
6823,105468
59494,7929
69693,6465
64974,90869
63845,1960
36607,104693
35822,6265
77512,106316
6359,106040
22215,105591
168239,95893
10177,103231
68889,105877
1136,104597
69396,105120
69582,105074
82576,1250
82585,5795
168495,96666
57884,105386
69694,49663
81451,97868
35823,105520
71422,84709
71278,153906
71427,145095
65680,140695
73107,148675
60571,158656
35091,66025
68545,127629
42663,156792
42665,148096
37104,150393
74098,139421
72342,122179
74174,137163
68547,99670
65666,148846
59438,158906
34204,99189
34211,42876
11289,151868
46979,158049
168414,97779
25065,138777
11204,156063
39738,117985
9064,92638
72300,108244
56537,142475
56548,72777
60931,59404
61010,106032
61011,74470
66391,155063
69300,96682
83822,24057
70149,108491
53905,113126
51349,258321
11123,131348
39736,275396
83929,269261
51988,152636
52527,278057
59443,280730
27290,231759
29715,125164
70865,61577
35575,132146
18894,12365
63557,35294
61084,267262
148,118316
35909,56601
35918,80315
33691,118426
38562,73168
35912,1604
35923,772
35913,355
35921,2760
35911,15826
35910,20480
8564,123640
144,110416
35649,142562
35882,82333
35867,121659
35920,126100
48836,81630
14302,90251
63768,92128
10498,91359
66807,91115
67089,91708
35042,93241
11683,93180
41237,96723
33819,91043
10179,92361
74100,93073
10195,92352
69677,97683
35870,93153
24783,111675
24784,85267
11033,86810
33869,12450
67001,5941
17203,14497
28926,9152
36841,8698
167892,46858
67895,12599
36838,116748
10212,108960
67781,76497
74195,115568
68433,90766
36851,52342
71871,94967
49713,73090
71127,97830
71130,15528
9762,90225
25932,103450
71119,48452
66549,72377
71121,72712
13060,70727
71125,706
67077,91535
76324,92427
47401,102893
82574,102086
40759,103757
69292,72485
65387,88954
74167,99582
35134,44495
50182,77313
50205,81192
66222,78489
50170,78410
84225,65425
12508,82060
10265,51747
35388,78111
87,1388
2566,72775
38214,75171
67999,75520
77480,79712
86532,1107
14885,54284
31368,56931
50194,5343
25382,78271
53930,292505
55350,147502
72313,126720
72326,111656
73083,97754
23338,176557
10213,179399
24257,40726
16820,79935
717,70111
71221,87104
70426,28280
71325,77896
16599,12695
64338,15392
56642,73764
5360,85840
31649,12253
73312,68519
21258,71630
1002,91705
74138,85384
74173,84141
77496,103167
70429,11608
35385,245662
72064,214813
72106,156381
65074,91752
54452,118413
25544,157749
69360,116640
53921,142410
414,192838
70414,44941
29712,76145
11909,76963
35576,78311
73130,77261
29719,77272
52240,5821
4754,6244
53116,77386
11893,75368
71236,75130
39241,22571
65046,80483
23929,27547
32311,53863
55049,52797
1151,52188
48556,9886
60793,52176
35084,52766
993,54126
84215,52958
55528,53100
53928,54412
35313,53572
35321,8076
62272,10033
48589,5059
84224,3488
53539,3173
48575,54534
82613,3583
84157,5341
55056,48781
83707,2570
57220,48991
27431,4216
76268,53334
60795,48644
13989,88324
25173,102688
73692,79158
28476,94738
32327,93233
6837,55315
34195,68172
21432,68255
25078,54495
34181,44369
8500,2494
53939,88496
34167,94515
55315,283
6838,56627
168014,61017
11907,84217
41883,4307
60830,74581
12521,81062
42061,78992
68518,83370
43193,48208
19184,98409
21726,75079
66174,78519
81692,73354
84214,57331
24978,10481
83945,79201
64048,43264
70419,44480
71357,77626
72119,78765
37106,71842
18819,66921
54280,78508
21729,75429
24981,43365
13938,78092
4149,75702
74192,84534
25090,89569
50780,308945
22591,265406
3978,234240
73311,332608
47404,332138
50063,146048
70184,55943
56092,149195
9088,60396
14326,42868
64547,85988
7780,106823
54176,93170
71928,64882
71905,71215
30303,74271
67784,68264
2325,105414
415,66459
10869,8495
57457,56972
67494,93496
68406,48977
59013,82221
8620,83283
34439,86305
23302,83097
56034,80914
168338,8005
51488,81727
58608,97738
16950,101837
35594,83337
35512,102515
69733,82177
18740,47244
16962,6235
68143,13533
68137,9267
52077,10806
68136,11814
71225,126116
73318,116583
73375,93230
52075,12119
64690,50748
73374,47946
47929,114636
68135,7523
17010,124661
9987,73586
9989,70301
74416,93284
412,90898
57832,86106
10897,78684
30833,82467
33440,57487
37005,56033
41212,52907
33543,59092
2777,22359
2768,15828
2770,56033
58267,44207
57545,37276
11951,55406
86534,9584
2787,59818
608,14369
607,44505
4143,63114
54938,23304
69993,23395
83740,65669
71363,73049
721,50304
81669,38803
6554,68974
83943,61742
10894,62460
41210,64782
73187,71940
60827,66772
31570,30594
11906,70155
17611,64842
74419,71876
73264,72298
167948,4848
73263,70220
450,19114
136751,66173
73363,75844
73942,114180
74422,73938
11970,75655
13933,49979
1005,55539
47070,270
24485,46869
59439,66390
54420,62546
66195,70065
50198,30527
11910,64362
35434,67058
78322,53815
57431,47847
7078,50949
35685,65816
8986,35279
31369,38239
37099,53005
71085,98491
70649,83816
62388,66905
25538,22586
22093,89092
71580,77399
58261,40050
61504,82736
19183,89198
37809,62397
71082,76643
46984,79019
72971,95820
18252,84941
83931,67840
18267,65603
52628,77318
19200,71999
81750,61738
35908,77763
64017,54362
34196,16653
34207,39482
34202,16763
34222,27491
24914,53438
73203,45495
27696,62545
51597,47207
23128,52931
24915,38483
70138,165314
65690,175343
41458,180502
73155,166735
67869,158397
25067,164356
411,143077
11912,10575
65522,38337
66414,7443
66415,4838
66416,2332
79258,2072
166332,38250
190120,31409
65523,1649
77063,36651
83181,4032
60675,5419
33345,39372
11911,36217
72348,43715
72359,8360
72361,6971
72362,2170
72358,37959
60683,3480
65535,7128
66413,42433
162115,1890
3246,42220
4145,7960
51241,40516
65395,40148
36917,40685
34445,40661
36914,4518
36920,7807
4146,4565
34846,3601
26431,45459
27969,40468
34867,40661
4144,42220
64544,4507
34527,40496
64548,39373
83180,45299
664,3535
64551,9094
26428,9789
34859,7763
77483,36278
89714,45625
27425,40321
37103,4551
36846,40148
37105,6644
71280,56247
34171,22707
34200,19566
73189,43899
23342,52154
66190,29843
65130,59114
36912,53521
67798,26122
417,62101
71657,35886
361,44236
74417,58436
73042,49521
