DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
139,"Minot-Bismarck-Dickinson, ND",22121,KBMY,17,DT,22," 119,915 ",1624,26633,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",53329,KDSE,9,DT,30," 41,429 ",1115,18281,"$9,871,740 ","$5,758,515 ",NA
139,"Minot-Bismarck-Dickinson, ND",41427,KFYR-TV,31,DT,25," 127,756 ",1787,29305,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",22127,KMCY,14,DT,16," 71,767 ",1072,17571,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",41425,KMOT,10,DT,33," 79,346 ",1618,26534,"$14,328,360 ","$8,358,210 ",NA
139,"Minot-Bismarck-Dickinson, ND",82611,KNDB,26,DT,20," 118,121 ",1537,25203,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",82615,KNDM,24,DT,16," 72,209 ",1075,17625,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",41430,KQCD-TV,7,DT,26," 33,272 ",930,15251,"$8,235,540 ","$4,804,065 ",NA
139,"Minot-Bismarck-Dickinson, ND",53313,KSRE,40,DT,15," 72,600 ",1044,17112,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",41429,KUMV-TV,8,DT,17," 41,011 ",835,13692,"$7,393,680 ","$4,312,980 ",NA
139,"Minot-Bismarck-Dickinson, ND",53318,KWSE,11,DT,32," 53,052 ",1303,21365,"$11,537,100 ","$6,729,975 ",NA
139,"Minot-Bismarck-Dickinson, ND",55684,KXMA-TV,19,DT,23," 31,907 ",857,14047,Not Needed,Not Needed,Not Needed
139,"Minot-Bismarck-Dickinson, ND",55686,KXMB-TV,12,DT,29," 138,290 ",2003,32838,"$17,732,520 ","$10,343,970 ",NA
139,"Minot-Bismarck-Dickinson, ND",55685,KXMC-TV,13,DT,29," 89,349 ",1610,26395,"$14,253,300 ","$8,314,425 ",NA
139,"Minot-Bismarck-Dickinson, ND",55683,KXMD-TV,14,DT,14," 36,547 ",715,11729,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",24574,K22FC-D,22,DC,19," 23,135 ",663,10872,Not Needed,Not Needed,Not Needed
140,"Medford-Klamath Falls, OR",5010,K23EX-D,23,DC,21," 167,212 ",1874,30727,Not Needed,Not Needed,Not Needed
