auction_id,stage,clearing_target,licensed_spectrum,round,start_time,end_time,base_clock_price,price_decrement_r1,price_decrement_r2,pw_compensation
1001,2,114,90,33,2016-10-03 13:00:00,2016-10-03 14:00:00,165.34033601265102,5,1,""
1001,2,114,90,34,2016-10-03 16:00:00,2016-10-03 17:00:00,156.34033601265102,5,1,""
1001,2,114,90,35,2016-10-04 10:00:00,2016-10-04 11:00:00,147.34033601265102,5,1,""
1001,2,114,90,36,2016-10-04 13:00:00,2016-10-04 14:00:00,138.34033601265102,5,1,""
1001,2,114,90,37,2016-10-04 16:00:00,2016-10-04 17:00:00,129.34033601265102,5,1,""
1001,2,114,90,38,2016-10-05 10:00:00,2016-10-05 11:00:00,120.34033601265102,5,1,""
1001,2,114,90,39,2016-10-05 13:00:00,2016-10-05 14:00:00,111.34033601265102,5,1,""
1001,2,114,90,40,2016-10-05 16:00:00,2016-10-05 17:00:00,102.34033601265102,5,1,""
1001,2,114,90,41,2016-10-06 10:00:00,2016-10-06 11:00:00,93.34033601265102,5,1,""
1001,2,114,90,42,2016-10-06 13:00:00,2016-10-06 14:00:00,84.34033601265102,5,1,""
1001,2,114,90,43,2016-10-06 16:00:00,2016-10-06 17:00:00,75.34033601265102,5,1,""
1001,2,114,90,44,2016-10-07 10:00:00,2016-10-07 11:00:00,66.34033601265102,5,1,""
1001,2,114,90,45,2016-10-07 13:00:00,2016-10-07 14:00:00,57.34033601265102,5,1,""
1001,2,114,90,46,2016-10-07 16:00:00,2016-10-07 17:00:00,48.34033601265102,5,1,""
1001,2,114,90,47,2016-10-11 10:00:00,2016-10-11 11:00:00,39.34033601265102,5,1,""
1001,2,114,90,48,2016-10-11 13:00:00,2016-10-11 14:00:00,30.340336012651022,5,1,""
1001,2,114,90,49,2016-10-11 16:00:00,2016-10-11 17:00:00,21.340336012651022,5,1,""
1001,2,114,90,50,2016-10-12 10:00:00,2016-10-12 11:00:00,12.340336012651022,5,1,""
1001,2,114,90,51,2016-10-12 13:00:00,2016-10-12 14:00:00,3.340336012651022,5,1,""
1001,2,114,90,52,2016-10-12 16:00:00,2016-10-12 17:00:00,0.0,5,1,""
1001,2,114,90,53,2016-10-13 10:00:00,2016-10-13 11:00:00,0.0,5,1,54586032836
1001,3,108,80,1,2016-11-01 10:00:00,2016-11-01 14:00:00,855.0,5,1,""
1001,3,108,80,2,2016-11-02 10:00:00,2016-11-02 12:00:00,812.25,5,1,""
1001,3,108,80,3,2016-11-02 15:00:00,2016-11-02 17:00:00,771.6375,5,1,""
1001,3,108,80,4,2016-11-03 10:00:00,2016-11-03 12:00:00,733.0556250000001,5,1,""
1001,3,108,80,5,2016-11-03 15:00:00,2016-11-03 17:00:00,696.4028437500001,5,1,""
1001,3,108,80,6,2016-11-04 10:00:00,2016-11-04 12:00:00,661.5827015625001,5,1,""
1001,3,108,80,7,2016-11-04 15:00:00,2016-11-04 17:00:00,628.5035664843751,5,1,""
1001,3,108,80,8,2016-11-07 10:00:00,2016-11-07 11:00:00,597.0783881601564,5,1,""
1001,3,108,80,9,2016-11-07 13:00:00,2016-11-07 14:00:00,567.2244687521485,5,1,""
1001,3,108,80,10,2016-11-07 16:00:00,2016-11-07 17:00:00,538.863245314541,5,1,""
1001,3,108,80,11,2016-11-08 10:00:00,2016-11-08 11:00:00,511.920083048814,5,1,""
